,index,distance,name,scheduleType,storeOpen,storeClose,storeNumber,isStoreOpen,address,amenities,orderingAvailable,isCurbsideDeliveryAvailable,fuelTypes,latitude,longitude,food,fuel,restrooms,diesel,ethanolFreeGas,open24Hours,teslaChargingStation,propane,chademoChargingStation,ccsChargingStation
0,0,1.78,607 somerset st,24hours,00:00:00,00:00:00,8376,False,"{'address': '607 somerset st', 'city': 'somerset', 'state': 'NJ', 'zip': '08873'}","{'food': True, 'fuel': True, 'restrooms': True, 'diesel': True, 'ethanolFreeGas': False, 'open24Hours': True, 'teslaChargingStation': False, 'propane': False, 'chademoChargingStation': False, 'ccsChargingStation': False}",True,True,"[{'category': 'Unleaded'}, {'category': 'Plus'}, {'category': 'Premium'}, {'category': 'Diesel'}, {'category': 'Super'}]",40.486792,-74.470439,True,True,True,True,False,True,False,False,False,False
1,1,2.64,933 livingston ave,24hours,00:00:00,00:00:00,8435,False,"{'address': '933 livingston ave', 'city': 'north brunswick', 'state': 'NJ', 'zip': '08902'}","{'food': True, 'fuel': True, 'restrooms': True, 'diesel': True, 'ethanolFreeGas': False, 'open24Hours': True, 'teslaChargingStation': False, 'propane': True, 'chademoChargingStation': False, 'ccsChargingStation': False}",True,True,"[{'category': 'Unleaded'}, {'category': 'Plus'}, {'category': 'Premium'}, {'category': 'Diesel'}, {'category': 'Super'}]",40.470858,-74.469515,True,True,True,True,False,True,False,True,False,False
2,2,2.77,580 route 1,24hours,00:00:00,00:00:00,8406,False,"{'address': '580 route 1', 'city': 'edison', 'state': 'NJ', 'zip': '08817'}","{'food': True, 'fuel': True, 'restrooms': True, 'diesel': True, 'ethanolFreeGas': False, 'open24Hours': True, 'teslaChargingStation': True, 'propane': True, 'chademoChargingStation': False, 'ccsChargingStation': False}",True,True,"[{'category': 'Unleaded'}, {'category': 'Plus'}, {'category': 'Premium'}, {'category': 'Diesel'}, {'category': 'Super'}]",40.5067,-74.393305,True,True,True,True,False,True,True,True,False,False
3,3,3.04,555 new durham rd,24hours,00:00:00,00:00:00,8386,False,"{'address': '555 new durham rd', 'city': 'piscataway', 'state': 'NJ', 'zip': '08854'}","{'food': True, 'fuel': True, 'restrooms': True, 'diesel': True, 'ethanolFreeGas': False, 'open24Hours': True, 'teslaChargingStation': False, 'propane': False, 'chademoChargingStation': False, 'ccsChargingStation': False}",True,True,"[{'category': 'Unleaded'}, {'category': 'Plus'}, {'category': 'Premium'}, {'category': 'Diesel'}, {'category': 'Super'}]",40.545893,-74.426042,True,True,True,True,False,True,False,False,False,False
4,4,3.81,656 old bridge pike,24hours,00:00:00,00:00:00,0983,False,"{'address': '656 old bridge pike', 'city': 'south river', 'state': 'NJ', 'zip': '08882'}","{'food': True, 'fuel': True, 'restrooms': True, 'diesel': True, 'ethanolFreeGas': False, 'open24Hours': True, 'teslaChargingStation': True, 'propane': False, 'chademoChargingStation': False, 'ccsChargingStation': False}",True,True,"[{'category': 'Unleaded'}, {'category': 'Plus'}, {'category': 'Premium'}, {'category': 'Diesel'}, {'category': 'Super'}]",40.46173096,-74.4005127,True,True,True,True,False,True,True,False,False,False
5,5,3.9,451 stelton road,24hours,00:00:00,00:00:00,8433,False,"{'address': '451 stelton road', 'city': 'piscataway', 'state': 'NJ', 'zip': '08854'}","{'food': True, 'fuel': True, 'restrooms': False, 'diesel': True, 'ethanolFreeGas': False, 'open24Hours': True, 'teslaChargingStation': False, 'propane': False, 'chademoChargingStation': False, 'ccsChargingStation': False}",True,True,"[{'category': 'Unleaded'}, {'category': 'Plus'}, {'category': 'Premium'}, {'category': 'Diesel'}, {'category': 'Super'}]",40.561065,-74.447106,True,True,False,True,False,True,False,False,False,False
6,6,4.36,2720 woodbridge ave,24hours,00:00:00,00:00:00,8365,False,"{'address': '2720 woodbridge ave', 'city': 'edison', 'state': 'NJ', 'zip': '08837'}","{'food': True, 'fuel': True, 'restrooms': True, 'diesel': True, 'ethanolFreeGas': False, 'open24Hours': True, 'teslaChargingStation': False, 'propane': True, 'chademoChargingStation': False, 'ccsChargingStation': False}",True,True,"[{'category': 'Unleaded'}, {'category': 'Plus'}, {'category': 'Premium'}, {'category': 'Diesel'}, {'category': 'Super'}]",40.511759,-74.363493,True,True,True,True,False,True,False,True,False,False
7,7,4.4,1910 route 27,24hours,00:00:00,00:00:00,8412,False,"{'address': '1910 route 27', 'city': 'north brunswick', 'state': 'NJ', 'zip': '08902'}","{'food': True, 'fuel': True, 'restrooms': True, 'diesel': True, 'ethanolFreeGas': False, 'open24Hours': True, 'teslaChargingStation': False, 'propane': True, 'chademoChargingStation': False, 'ccsChargingStation': False}",True,True,"[{'category': 'Unleaded'}, {'category': 'Plus'}, {'category': 'Premium'}, {'category': 'Diesel'}, {'category': 'Super'}]",40.46100722,-74.50704742,True,True,True,True,False,True,False,True,False,False
8,8,4.91,426 ryders land,24hours,00:00:00,00:00:00,0914,False,"{'address': '426 ryders land', 'city': 'east brunswick', 'state': 'NJ', 'zip': '08816-2763'}","{'food': True, 'fuel': False, 'restrooms': False, 'diesel': False, 'ethanolFreeGas': None, 'open24Hours': True, 'teslaChargingStation': False, 'propane': False, 'chademoChargingStation': False, 'ccsChargingStation': False}",True,True,[],40.435901,-74.422174,True,False,False,False,,True,False,False,False,False
9,9,5.36,42 washington road (@ jernee m,24hours,00:00:00,00:00:00,0781,False,"{'address': '42 washington road (@ jernee m', 'city': 'sayreville', 'state': 'NJ', 'zip': '08872'}","{'food': True, 'fuel': False, 'restrooms': False, 'diesel': False, 'ethanolFreeGas': None, 'open24Hours': True, 'teslaChargingStation': False, 'propane': False, 'chademoChargingStation': False, 'ccsChargingStation': False}",True,True,[],40.454984,-74.367611,True,False,False,False,,True,False,False,False,False
